Room_1,Room_2,Room_3,Room_4
22,21,20,22
22,20,20,21
18,17,17,18
25,21,22,19
20,17,20,20
23,19,20,21
25,17,19,19
19,20,21,19
18,17,16,19
21,17,17,18
24,21,21,18
19,18,20,20
20,21,17,20
21,20,19,22
18,17,22,18
19,17,19,21
24,20,17,20
20,18,17,21
19,21,21,19
21,17,17,22
21,21,23,21
23,20,16,21
21,20,23,20
21,18,16,18
25,18,18,20
18,20,23,19
22,19,19,19
20,18,22,20
23,17,22,22
18,20,23,21
20,21,17,22
18,21,20,19
25,19,19,20
19,17,21,18
20,20,16,19
21,19,21,21
21,20,18,19
19,21,17,21
21,19,19,18
25,17,20,18
19,20,22,20
18,21,20,18
24,18,20,21
24,21,16,22
21,17,18,20
22,19,17,22
24,21,22,18
23,19,19,22
23,18,22,21
23,19,18,18
20,21,18,20
18,17,20,21
19,21,23,21
21,19,18,21
20,18,19,21
21,21,19,19
25,18,21,19
20,17,18,19
23,20,21,21
24,19,19,20
20,20,20,20
24,20,17,20
18,19,22,20
21,18,18,19
22,18,19,21
23,18,23,20
21,19,21,21
25,19,16,21
20,19,17,20
25,19,21,22
24,19,23,22
24,21,17,18
20,19,23,19
24,18,17,22
24,19,17,18
24,20,17,20
18,17,23,21
20,17,23,20
20,17,21,20
23,17,22,22
18,20,20,20
19,18,18,21
23,20,17,21
24,20,20,18
20,19,18,19
20,18,23,19
18,21,20,20
24,21,17,22
18,17,21,22
20,18,21,21
21,20,18,19
22,18,18,20
21,20,16,20
21,20,19,20
24,19,21,18
23,20,21,22
20,20,21,20
22,20,20,18
19,17,16,19
19,17,22,22
